Number,Street_name,Latitude,Longitude
1,Lansdown Road,51.392494, -2.363733
2,Richmond Road,51.392775,-2.363272
3,Mount Road,51.392353,-2.360669
4,St Stephens Road,51.391783,-2.360447
5,Camden Road,51.392012,-2.359402
6,Gay's Hill,51.391840,-2.359004
7,Pera Place,51.391616,-2.358405
8,London Road,51.390804,-2.355062
9,Warminster Road,51.387677,-2.345900
10,North Road,51.385955,-2.342980
11,Vellore Lane/ Sham Castle Lane ,51.385506,-2.347651
12,Bathwick Hill,51.382978,-2.349666
13,Pulteney Gardens,51.378862,-2.349492
14,Widcombe Hill,51.376315,-2.352489
15,Prior Park Road,51.376126,-2.353136
16,Millbrook Place,51.376202,-2.353805
17,Lyncombe Hill,51.376503,-2.356595
18,Wells Road,51.374245,-2.366614
19,Bloomfield Avenue,51.374159,-2.370202
20,Oldfield Road,51.374662,-2.372295
21,Upper Oldfield Park,51.376031,-2.368829
22,Westmoreland Road,51.377990,-2.368740
23,Brougham Hayes,51.380898,-2.374483
24,Lower Bristol Road,51.381303,-2.374883
25,Stothert Avenue,51.381412,-2.373067
26,Upper Bristol Road,51.385214,-2.375641
27,Weston Road,51.388995,-2.376679
28,Cavendish Road,51.392393,-2.370367
29,Lansdown Place East,51.391030,-2.364276
30,Upper Lansdown Mews,51.391303,-2.364171
